Week,A(Subtyping not performed),A (H1N1)pdm09,A(H3),A(H3N2v),B(lineage not performed),B(Victoria lineage),B(Yamagata lineage)
201740,3,13,121,1,5,0,16
201741,1,14,142,0,6,4,11
201742,0,14,173,0,2,1,11
201743,4,26,173,0,8,1,20
201744,2,23,240,0,17,3,32
201745,1,28,314,0,12,4,30
201746,2,56,398,0,34,4,59
201747,0,41,482,0,12,5,58
201748,10,61,752,1,27,8,95
201749,7,68,960,0,38,14,86
201750,14,127,1343,0,42,30,157
201751,39,209,2197,0,96,35,203
201752,23,245,2530,0,104,28,302
201801,32,254,2761,0,168,32,369
201802,74,273,2681,0,128,27,348
201803,62,255,1784,0,119,19,294
201804,74,189,1017,0,103,13,201
201806,0,0,0,0,0,0,0
201808,0,0,0,0,0,0,0
201810,0,0,0,0,0,0,0
201812,0,0,0,0,0,0,0
201814,0,0,0,0,0,0,0
201816,0,0,0,0,0,0,0
201818,0,0,0,0,0,0,0
201820,0,0,0,0,0,0,0
